,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,Table,Rk,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SEA,SJS,STL,TBL,TOR,VAN,VEG,WPG,WSH
Arizona Coyotes,,,,,,,,,,,,,,,Team vs. Team,2,,,,,,,,,,,,,,,,,,,,,2-0-1,,1-1-0,1-1-0,0-2-0,2-0-0,0-2-1,1-2-0,2-2-0,0-2-1,2-0-0,2-1-0,0-2-0,0-3-0,1-3-0,1-1-0,2-0-0,3-0-1,0-2-0,0-2-0,2-0-0,0-2-0,1-1-0,2-1-0,3-0-0,2-2-0,1-1-0,0-2-0,1-2-0,2-1-0,0-3-1,2-0-0
Boston Bruins,,,,,,,,,,,,,,,Team vs. Team,3,,,,,,,,,,,,,,,,,,,,,1-0-1,1-0-1,,2-1-0,1-2-0,2-1-0,0-1-1,2-0-0,1-0-1,2-0-0,2-2-0,1-0-1,4-0-0,1-0-1,0-1-1,3-0-1,2-0-1,2-0-0,2-1-0,0-2-1,2-1-0,2-1-0,2-1-0,0-1-1,2-0-0,1-1-0,1-1-2,4-0-0,1-0-1,1-0-1,1-1-0,1-2-0
Buffalo Sabres,,,,,,,,,,,,,,,Team vs. Team,4,,,,,,,,,,,,,,,,,,,,,0-2-0,1-1-0,1-2-0,,1-1-1,2-1-0,1-1-0,2-0-0,1-1-0,0-2-0,1-3-0,1-1-0,0-2-1,2-0-0,2-0-0,2-1-1,1-2-0,0-2-0,2-1-0,1-1-1,2-2-0,2-1-0,2-1-0,1-1-0,2-0-0,0-2-0,3-1-0,2-1-1,0-2-0,2-0-0,0-2-0,2-0-1
Carolina Hurricanes,,,,,,,,,,,,,,,Team vs. Team,5,,,,,,,,,,,,,,,,,,,,,1-1-0,2-0-0,2-1-0,2-0-1,,3-1-0,1-1-0,2-0-0,1-1-0,0-2-0,3-0-0,1-1-0,2-1-0,1-1-0,1-1-0,3-0-0,3-0-0,1-0-1,2-1-1,1-2-0,3-0-0,3-1-0,2-1-1,1-1-0,2-0-0,1-0-1,1-2-0,3-0-0,0-2-0,2-0-0,0-2-0,2-0-2
Columbus Blue Jackets,,,,,,,,,,,,,,,Team vs. Team,6,,,,,,,,,,,,,,,,,,,,,1-0-1,0-2-0,1-2-0,1-1-1,1-3-0,,2-0-0,2-0-0,1-1-0,0-2-0,0-2-1,1-1-0,0-2-1,0-1-1,1-0-1,0-2-1,1-2-1,0-2-0,0-3-0,2-1-1,1-1-1,2-2-0,1-3-0,0-2-0,2-0-0,2-0-0,1-2-0,2-1-0,1-0-1,1-1-0,0-2-0,0-2-1
Calgary Flames,,,,,,,,,,,,,,,Team vs. Team,7,,,,,,,,,,,,,,,,,,,,,2-1-0,3-0-0,2-0-0,1-1-0,1-1-0,0-2-0,,1-2-0,0-3-0,2-1-0,0-2-0,1-3-0,1-1-0,2-2-0,1-1-1,2-0-0,1-1-0,2-1-0,1-0-1,0-2-0,1-1-0,1-1-0,1-1-0,2-2-0,2-1-0,0-3-0,2-0-0,0-1-1,1-3-0,3-0-1,2-1-0,0-1-1
Chicago Blackhawks,,,,,,,,,,,,,,,Team vs. Team,8,,,,,,,,,,,,,,,,,,,,,2-1-0,2-1-0,0-2-0,0-2-0,0-2-0,0-2-0,2-1-0,,1-3-0,1-2-1,0-1-1,0-3-0,1-1-0,0-2-1,0-3-0,0-2-0,0-2-0,0-3-1,1-1-0,0-1-1,1-1-0,1-1-0,1-1-0,1-2-0,3-0-0,1-3-0,1-1-0,2-0-0,0-3-0,1-2-0,1-2-1,0-2-0
Colorado Avalanche,,,,,,,,,,,,,,,Team vs. Team,9,,,,,,,,,,,,,,,,,,,,,2-0-1,2-0-2,1-1-0,1-1-0,1-1-0,1-1-0,3-0-0,3-1-0,,3-1-0,1-0-1,2-1-0,0-2-0,2-1-0,4-0-0,0-2-0,1-1-0,1-2-0,2-0-0,0-0-2,2-0-0,1-1-0,1-1-0,2-1-0,3-0-0,3-1-0,1-1-0,1-1-0,3-0-0,1-1-1,0-3-0,2-0-0
Dallas Stars,,,,,,,,,,,,,,,Team vs. Team,10,,,,,,,,,,,,,,,,,,,,,3-0-0,3-0-0,0-1-1,2-0-0,2-0-0,2-0-0,1-1-1,3-1-0,1-2-1,,2-0-0,2-0-1,0-2-0,3-0-0,3-0-0,1-1-0,1-1-0,2-2-0,0-0-2,1-1-0,1-1-0,1-1-0,2-0-0,3-0-0,3-0-0,2-1-1,1-1-0,0-2-0,2-1-0,0-1-2,3-1-0,2-0-0
Detroit Red Wings,,,,,,,,,,,,,,,Team vs. Team,11,,,,,,,,,,,,,,,,,,,,,1-1-0,0-2-0,2-2-0,3-1-0,0-3-0,3-0-0,2-0-0,2-0-0,1-1-0,0-2-0,,0-1-1,1-2-1,2-0-0,1-1-0,3-0-1,1-2-0,1-1-0,2-1-0,0-3-0,1-1-2,2-1-0,1-1-1,1-0-1,1-0-1,2-0-0,3-0-0,2-1-0,1-1-0,1-1-0,0-2-0,1-1-1
